period,actual,forecast,lower_ci,upper_ci,in_ci,n_train,Country
2019-06-01,0.9468771428854161,0.7726449825740721,0.15764064838206532,1.7025524460511572,True,257,Israel
2019-07-01,0.7380107297626282,0.7509456598438347,0.18279336887941142,1.5777668746758498,True,258,Israel
2019-08-01,0.7364578262212262,0.6850063414248723,0.08425911229140307,1.669416814653486,True,259,Israel
2019-09-01,0.6322465739492245,0.6194226484553905,0.06516148972608637,1.2586055146468813,True,260,Israel
2019-10-01,0.5254872838364122,0.6058449163185855,0.16376781864688114,1.0803508527460168,True,261,Israel
2019-11-01,0.31595602903653486,0.42198197323525666,-0.688932255890027,0.9391781491578096,True,262,Israel
2019-12-01,0.5265941605292923,0.45919175114399524,-0.09253833271865007,1.0430658222623868,True,263,Israel
2019-01-01,1.044509660861337,1.4504829709333884,1.2486116307066593,1.8663773181256669,False,223,Korea
2019-02-01,1.0963131038974616,1.398599380393881,1.2308640103488777,1.7301393094076374,False,224,Korea
2019-03-01,0.7431305026827317,1.3820779051235779,1.2175665339211401,1.739986840282544,False,225,Korea
2019-04-01,0.7036079980944798,1.3551309593072616,1.1799569077203556,1.7174043559820744,False,226,Korea
2019-05-01,0.5713094265130003,1.3167848820065415,1.1465088567482278,1.5790598247170538,False,227,Korea
2019-06-01,0.6848100238322274,1.299464547339171,1.0902061862914976,1.651685057424555,False,228,Korea
2019-07-01,0.8752394859390833,1.3586465471243254,1.0722864687998448,2.0652176983820207,False,229,Korea
2019-08-01,0.8357406031631598,1.42401310667107,1.0633018197697512,2.4412727650051003,False,230,Korea
2019-09-01,0.4753377597945807,1.2560208581192387,1.0376950549619977,1.609451527798732,False,231,Korea
2019-10-01,0.6274593482755719,1.2124098995956558,0.9682694436344519,1.5663439665427783,False,232,Korea
2019-11-01,0.5227940529351827,1.206030441420693,0.9327525611136411,1.5958697899572707,False,233,Korea
2019-12-01,0.6283502367223193,1.2206403434825701,0.8950747184645728,1.839780397994486,False,234,Korea
2019-01-01,3.080681043970923,3.915451588270996,1.6117297668240638,9.960635723415821,True,192,Latvia
2019-02-01,3.1142772379115335,4.132516804449888,1.6471492227978304,9.565697002613506,True,193,Latvia
2019-03-01,2.374212533250031,3.9724610132717895,1.4400445026833935,9.341240805101013,True,194,Latvia
2019-04-01,2.8447748247416804,3.7206589537072707,1.517893517233148,9.082304595164901,True,195,Latvia
2019-05-01,2.415768982533084,3.802508936758126,1.5725380805138733,8.969749363624647,True,196,Latvia
2019-06-01,2.6071618631604565,3.258035520555166,1.492918184486403,8.678966541123806,True,197,Latvia
