period,Belgium – Consumer Price Index > OECD Groups > All items non-food non-energy > Total – Index 2015=100 – Monthly (OECD/MEI/BEL.CPGRLE01.IXOB.M),Switzerland – Consumer Price Index > OECD Groups > All items non-food non-energy > Total – Index 2015=100 – Monthly (OECD/MEI/CHE.CPGRLE01.IXOB.M),Germany – Consumer Price Index > OECD Groups > All items non-food non-energy > Total – Index 2015=100 – Monthly (OECD/MEI/DEU.CPGRLE01.IXOB.M),Israel – Consumer Price Index > OECD Groups > All items non-food non-energy > Total – Index 2015=100 – Monthly (OECD/MEI/ISR.CPGRLE01.IXOB.M),Korea – Consumer Price Index > OECD Groups > All items non-food non-energy > Total – Index 2015=100 – Monthly (OECD/MEI/KOR.CPGRLE01.IXOB.M),Lithuania – Consumer Price Index > OECD Groups > All items non-food non-energy > Total – Index 2015=100 – Monthly (OECD/MEI/LTU.CPGRLE01.IXOB.M),Latvia – Consumer Price Index > OECD Groups > All items non-food non-energy > Total – Index 2015=100 – Monthly (OECD/MEI/LVA.CPGRLE01.IXOB.M),Norway – Consumer Price Index > OECD Groups > All items non-food non-energy > Total – Index 2015=100 – Monthly (OECD/MEI/NOR.CPGRLE01.IXOB.M)
1998-06-01,75.2119145958061,93.2485353137839,82.5842163500578,75.2130681818182,68.356700229305,77.0214,59.6104330687831,73.93327
1998-07-01,75.4589813276075,93.2531709823158,83.0643236905178,75.1065340909091,68.356700229305,77.7085,59.8219539603174,73.771199
1998-08-01,75.434713180429,93.693632768036,82.9958832500451,75.3196022727273,68.1779110761996,77.8672,60.0430894378307,73.702452
1998-09-01,75.4582928519034,93.6801651729457,82.832177391089,76.0653409090909,68.1779110761996,78.2371,60.2834540873016,74.342823
1998-10-01,75.543945604221,93.6637401498343,82.8074304935665,78.515625,68.1779110761996,78.5307,60.2930686732804,74.450889
1998-11-01,75.4457263367009,93.5822100492832,82.8082393399355,79.5809659090909,68.1186673331588,78.6772,60.5622770806878,74.457716
1998-12-01,75.4261264840315,93.5734433966019,82.9800252150992,79.5809659090909,68.0001798470771,78.7475,60.668037526455,74.590642
1999-01-01,75.6319509606113,93.701305105672,82.7681190817273,78.9417613636364,68.0001798470771,79.1166,61.36990230291,74.533788
1999-02-01,75.8946344179354,94.0971375473794,82.9486554919554,78.1960227272727,68.0594235901179,79.218,61.5525794365079,74.69023
1999-03-01,75.8982079677787,94.2433671249284,82.8559538841558,78.1960227272727,68.1779110761996,79.2966,61.7352565701058,75.487868
1999-04-01,76.0086920266162,94.1966007382436,82.7508270867697,78.1960227272727,68.1186673331588,79.786,61.7448711560846,75.696081
1999-05-01,76.0825521844172,93.9511372606171,82.8531429846334,78.6221590909091,68.0594235901179,79.7612,61.8602461878307,75.575505
1999-06-01,76.0690572476386,93.9890512963366,82.9504400224561,78.9417613636364,68.0001798470771,79.7155,62.5524963783069,75.710871
1999-07-01,76.2620388011514,93.9166196523288,83.4183977724188,79.2613636363636,67.9388202560705,79.707,62.5717255502646,75.440959
1999-08-01,76.2630339234775,94.5083571776058,83.3091317090194,79.5809659090909,67.9388202560705,79.625,62.8024756137566,75.071805
1999-09-01,76.3600074009515,94.550088291289,83.0361798494329,80.0071022727273,67.9388202560705,79.734,63.2062882248677,75.794349
1999-10-01,76.412369557869,94.5173153805403,82.9795616595431,80.3267045454546,68.0594235901179,78.5256,63.2543611547619,75.87629
1999-11-01,76.5701417435679,94.4476080636173,83.2118557899009,80.2201704545454,68.0594235901179,78.4787,63.4562674603175,76.051964
1999-12-01,76.6932571119133,94.4290646074064,83.3907808430024,80.0071022727273,68.0594235901179,78.2701,63.3120486706349,76.090945
