period,inflation_yoy,month,inflation_yoy_lag1,inflation_yoy_lag2,inflation_yoy_lag3,inflation_yoy_lag4,banks_balance_sheet_yoy_lag1,banks_balance_sheet_yoy_lag2,banks_balance_sheet_yoy_lag3,banks_balance_sheet_yoy_lag4,current_account_yoy_diff_lag1,current_account_yoy_diff_lag2,current_account_yoy_diff_lag3,current_account_yoy_diff_lag4,employed_persons_yoy_lag1,employed_persons_yoy_lag2,employed_persons_yoy_lag3,employed_persons_yoy_lag4,energy_inflation_lag1,energy_inflation_lag2,energy_inflation_lag3,energy_inflation_lag4,foreign_direct_investment_yoy_diff_lag1,foreign_direct_investment_yoy_diff_lag2,foreign_direct_investment_yoy_diff_lag3,foreign_direct_investment_yoy_diff_lag4,import_prices_yoy_lag1,import_prices_yoy_lag2,import_prices_yoy_lag3,import_prices_yoy_lag4,interest_rate_lag1,interest_rate_lag2,interest_rate_lag3,interest_rate_lag4,manufacturing_production_lag1,manufacturing_production_lag2,manufacturing_production_lag3,manufacturing_production_lag4,private_sector_credit_yoy_lag1,private_sector_credit_yoy_lag2,private_sector_credit_yoy_lag3,private_sector_credit_yoy_lag4,producer_prices_yoy_lag1,producer_prices_yoy_lag2,producer_prices_yoy_lag3,producer_prices_yoy_lag4,unemployment_rate_lag1,unemployment_rate_lag2,unemployment_rate_lag3,unemployment_rate_lag4
2008-07-01,0.0139458621256807,7,0.0135949041423977,0.0127872679123974,0.0094661854971205,0.0168349061829964,4.4271049030014,4.811602653977509,5.180462667295416,5.00128927292387,476.8110000000015,-1854.9500000000007,1272.791000000001,-3667.673999999999,1.44801146288831,1.404329949755656,1.4745442822588828,1.630120821393355,14.7,12.9,9.5,9.8,-7045.45,-2172.253,7783.165,-4069.6989999999996,7.63401159376631,6.50283227777031,4.601030564883324,4.6365920557925655,4.0,4.0,4.0,4.0,2.7,1.5,5.6,4.3,2.6132106299106894,2.3951815542183397,1.9480906270409548,1.4170370716135139,5.890984574606328,5.09287078853653,4.529975922966312,3.7152265631292813,7.7,7.9,7.9,7.9
2008-08-01,0.0146898709336564,8,0.0139458621256807,0.0135949041423977,0.0127872679123974,0.0094661854971205,4.401969514478488,4.4271049030014,4.811602653977509,5.180462667295416,-3487.6939999999995,476.8110000000015,-1854.9500000000007,1272.791000000001,1.5001144844625003,1.44801146288831,1.404329949755656,1.4745442822588828,15.1,14.7,12.9,9.5,-5052.845,-7045.45,-2172.253,7783.165,8.132822012720897,7.63401159376631,6.50283227777031,4.601030564883324,4.125,4.0,4.0,4.0,0.3,2.7,1.5,5.6,2.834587390978882,2.6132106299106894,2.3951815542183397,1.9480906270409548,7.929560267053759,5.890984574606328,5.09287078853653,4.529975922966312,7.7,7.7,7.9,7.9
2008-09-01,0.0126352890081875,9,0.0146898709336564,0.0139458621256807,0.0135949041423977,0.0127872679123974,4.656279938022401,4.401969514478488,4.4271049030014,4.811602653977509,-3143.072,-3487.6939999999995,476.8110000000015,-1854.9500000000007,1.3933812778287091,1.5001144844625003,1.44801146288831,1.404329949755656,13.0,15.1,14.7,12.9,-1715.484,-5052.845,-7045.45,-2172.253,7.857725333601895,8.132822012720897,7.63401159376631,6.50283227777031,4.25,4.125,4.0,4.0,2.0,0.3,2.7,1.5,3.857417333611046,2.834587390978882,2.6132106299106894,2.3951815542183397,7.2546420695609015,7.929560267053759,5.890984574606328,5.09287078853653,7.6,7.7,7.7,7.9
2008-10-01,0.0126102406553236,10,0.0126352890081875,0.0146898709336564,0.0139458621256807,0.0135949041423977,5.441962902522235,4.656279938022401,4.401969514478488,4.4271049030014,-2885.547999999999,-3143.072,-3487.6939999999995,476.8110000000015,1.461066951698342,1.3933812778287091,1.5001144844625003,1.44801146288831,12.2,13.0,15.1,14.7,4518.682000000001,-1715.484,-5052.845,-7045.45,6.90673566085831,7.857725333601895,8.132822012720897,7.63401159376631,4.25,4.25,4.125,4.0,-1.5,2.0,0.3,2.7,4.072873449461234,3.857417333611046,2.834587390978882,2.6132106299106894,7.59267056044326,7.2546420695609015,7.929560267053759,5.890984574606328,7.6,7.6,7.7,7.7
2008-11-01,0.0128375699226594,11,0.0126102406553236,0.0126352890081875,0.0146898709336564,0.0139458621256807,7.16515944131455,5.441962902522235,4.656279938022401,4.401969514478488,-2320.7909999999993,-2885.547999999999,-3143.072,-3487.6939999999995,1.3748879218319132,1.461066951698342,1.3933812778287091,1.5001144844625003,9.7,12.2,13.0,15.1,-4515.262,4518.682000000001,-1715.484,-5052.845,2.838618539685367,6.90673566085831,7.857725333601895,8.132822012720897,4.0,4.25,4.25,4.125,-3.4,-1.5,2.0,0.3,4.173293219045959,4.072873449461234,3.857417333611046,2.834587390978882,7.108408112864506,7.59267056044326,7.2546420695609015,7.929560267053759,7.6,7.6,7.6,7.7
2008-12-01,0.0128478049845233,12,0.0128375699226594,0.0126102406553236,0.0126352890081875,0.0146898709336564,5.932863784437359,7.16515944131455,5.441962902522235,4.656279938022401,-9331.822,-2320.7909999999993,-2885.547999999999,-3143.072,1.273119830371705,1.3748879218319132,1.461066951698342,1.3933812778287091,1.4,9.7,12.2,13.0,10185.075,-4515.262,4518.682000000001,-1715.484,-0.5527930052513064,2.838618539685367,6.90673566085831,7.857725333601895,3.5,4.0,4.25,4.25,-7.2,-3.4,-1.5,2.0,4.35217045368077,4.173293219045959,4.072873449461234,3.857417333611046,4.564865080467939,7.108408112864506,7.59267056044326,7.2546420695609015,7.6,7.6,7.6,7.6
2009-01-01,0.0112824478145947,1,0.0128478049845233,0.0128375699226594,0.0126102406553236,0.0126352890081875,4.244640583783266,5.932863784437359,7.16515944131455,5.441962902522235,-3080.9919999999984,-9331.822,-2320.7909999999993,-2885.547999999999,1.2234822429148196,1.273119830371705,1.3748879218319132,1.461066951698342,-0.8,1.4,9.7,12.2,-1281.1780000000003,10185.075,-4515.262,4518.682000000001,-4.169618077758752,-0.5527930052513064,2.838618539685367,6.90673566085831,2.875,3.5,4.0,4.25,-11.6,-7.2,-3.4,-1.5,4.9406578194449935,4.35217045368077,4.173293219045959,4.072873449461234,3.9958312301603627,4.564865080467939,7.108408112864506,7.59267056044326,7.7,7.6,7.6,7.6
2009-02-01,0.0142506751313282,2,0.0112824478145947,0.0128478049845233,0.0128375699226594,0.0126102406553236,4.382473277456889,4.244640583783266,5.932863784437359,7.16515944131455,-7161.380999999999,-3080.9919999999984,-9331.822,-2320.7909999999993,0.8729182761360477,1.2234822429148196,1.273119830371705,1.3748879218319132,-0.8,-0.8,1.4,9.7,3585.866,-1281.1780000000003,10185.075,-4515.262,-5.850937419209412,-4.169618077758752,-0.5527930052513064,2.838618539685367,2.25,2.875,3.5,4.0,-20.2,-11.6,-7.2,-3.4,4.5178261065002445,4.9406578194449935,4.35217045368077,4.173293219045959,1.884625862483169,3.9958312301603627,4.564865080467939,7.108408112864506,7.8,7.7,7.6,7.6
2009-03-01,0.0109641477773507,3,0.0142506751313282,0.0112824478145947,0.0128478049845233,0.0128375699226594,3.3483323835596934,4.382473277456889,4.244640583783266,5.932863784437359,-4447.74,-7161.380999999999,-3080.9919999999984,-9331.822,0.7838566492299748,0.8729182761360477,1.2234822429148196,1.273119830371705,-1.2,-0.8,-0.8,1.4,10086.58,3585.866,-1281.1780000000003,10185.075,-7.061756721395351,-5.850937419209412,-4.169618077758752,-0.5527930052513064,2.0,2.25,2.875,3.5,-22.6,-20.2,-11.6,-7.2,4.713374051232755,4.5178261065002445,4.9406578194449935,4.35217045368077,0.8249899472142275,1.884625862483169,3.9958312301603627,4.564865080467939,7.9,7.8,7.7,7.6
2009-04-01,0.0159751635419143,4,0.0109641477773507,0.0142506751313282,0.0112824478145947,0.0128478049845233,1.857412560781313,3.3483323835596934,4.382473277456889,4.244640583783266,-2009.8870000000006,-4447.74,-7161.380999999999,-3080.9919999999984,0.6197734278520883,0.7838566492299748,0.8729182761360477,1.2234822429148196,-4.5,-1.2,-0.8,-0.8,-4768.226,10086.58,3585.866,-1281.1780000000003,-7.8515646968075,-7.061756721395351,-5.850937419209412,-4.169618077758752,1.75,2.0,2.25,2.875,-21.7,-22.6,-20.2,-11.6,4.606571950711746,4.713374051232755,4.5178261065002445,4.9406578194449935,-0.35356548323077774,0.8249899472142275,1.884625862483169,3.9958312301603627,8.1,7.9,7.8,7.7
